Filename;Title;Description;NbCopies;NbSelf;BACKGROUND;FEATHER;OUTWEAR;BEAK;HEADWEAR;EYES;EYEWEAR
janitor;The Janitor;Get Rugged;1;1;Special;Special;Special;Special;Special;Special;Special
cookie berb;The Cookie Muncher;Get Rugged;1;1;Special;Special;Special;Special;Special;Special;Special
angry berb;The Angry Berb;Get Rugged;1;1;Special;Special;Special;Special;Special;Special;Special
goldie ninja;The Golden Ninja;Get Rugged;1;1;Special;Special;Special;Special;Special;Special;Special
wizard;The Wizard;Get Rugged;1;1;Special;Special;Special;Special;Special;Special;Special
berbman fried;The Berbman;Get Rugged;1;1;Special;Special;Special;Special;Special;Special;Special
berbkwon;The Berbkwon;Get Rugged;1;1;Special;Special;Special;Special;Special;Special;Special
turkish berb;The Ottoman Berb;Get Rugged;1;1;Special;Special;Special;Special;Special;Special;Special
corgi;The Corgi;Get Rugged;1;1;Special;Special;Special;Special;Special;Special;Special
plague doctor;The Doctor;Get Rugged;1;1;Special;Special;Special;Special;Special;Special;Special
basquiat;The Berbquiat;Get Rugged;1;1;Special;Special;Special;Special;Special;Special;Special
Astro Berb;The Astro Berb;Get Rugged;1;0;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration
Berb Error;Berb Code: Error;Get Rugged;1;0;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration
berb x diplo;Alice in Diploland;Get Rugged;1;0;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration
cutie berb.png;The Cutie Berb;Get Rugged;1;0;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration
injscribed berb;The Injscribed Berb;Get Rugged;1;0;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration
Lord RugBits;Lord RugBit;Get Rugged;1;0;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration
Pretty Berb;The Pretty Berb;Get Rugged;1;0;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration
ronin berb.jpg;The Ronin Berb;Get Rugged;1;0;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration;Artist Collaboration
001;RugBerb #001;Get Rugged;1;0;Ninja;pink;none;small;captain hat;normal;none
002;RugBerb #002;Get Rugged;1;0;Thunder;pink;tracksuit navy blue;normal;none;crying;none
003;RugBerb #003;Get Rugged;1;0;Rain;green;none;worm;pan;normal;none
004;RugBerb #004;Get Rugged;1;0;blue sky;pink;clown outfit;big;none;heart;none
005;RugBerb #005;Get Rugged;1;0;purple zigzag;golden berbot;egg;gold normal;none;machine gold;none
006;RugBerb #006;Get Rugged;1;0;red chart;black skull;pocho;small;none;normal;sunglasses
007;RugBerb #007;Get Rugged;1;0;purple;yellow belly;purple jacket;normal;none;unibrow;none
008;RugBerb #008;Get Rugged;1;0;purple;black;firefighter uniform;cigar;chef hat;red laser;none
009;RugBerb #009;Get Rugged;1;0;rainbow;stone;cross necklace;Moustache big;clown hat;normal gold;none
010;RugBerb #010;Get Rugged;1;0;rainbow;grey;witch robe;moustache small;top hat;eyebrow;none
011;RugBerb #011;Get Rugged;1;0;Space;green;bowtie;normal;Viking;eyebrow;none
012;RugBerb #012;Get Rugged;1;0;blue;yellow belly;none;pipe;none;pumped up;goggles
013;RugBerb #013;Get Rugged;1;0;blue;brown;white shirt;worm;beanie;pumped up;green stylish glasses
014;RugBerb #014;Get Rugged;1;0;purple;blue;none;moustache small;none;normal;none
015;RugBerb #015;Get Rugged;1;0;Aries constellation;yellow;firefighter uniform;worm;Pilot helmet;rainbow laser;none
016;RugBerb #016;Get Rugged;1;0;doom gloom;blue;none;big;cop hat;normal;none
017;RugBerb #017;Get Rugged;1;0;purple;grey;none;small;sunny side up;normal;green stylish glasses
018;RugBerb #018;Get Rugged;1;0;pink sky;black skull;medal;silver;cowboy hat;eyebrow;none
019;RugBerb #019;Get Rugged;1;0;Rain;brown;cop uniform;silver;RUG!;red laser;none
020;RugBerb #020;Get Rugged;1;0;teal;black;none;normal;cowboy hat;normal;green stylish glasses
021;RugBerb #021;Get Rugged;1;0;purple;pink;chef;small;cone;normal;pink stars glasses
022;RugBerb #022;Get Rugged;1;0;Diplo Sky;pink;none;small;none;crying;none
023;RugBerb #023;Get Rugged;1;0;grey;green;medal;worm;construction hat;heart;none
024;RugBerb #024;Get Rugged;1;0;Thunder;blue;baseball jersey;small;top hat;eyebrow;green stylish glasses
025;RugBerb #025;Get Rugged;1;0;red chart;green;clown outfit;cigar;headband;pumped up;none
026;RugBerb #026;Get Rugged;1;0;Rain;blue;none;moustache small;none;heart;none
027;RugBerb #027;Get Rugged;1;0;teal;yellow belly;scarf;big;cone;heart;none
028;RugBerb #028;Get Rugged;1;0;purple;black;none;small;lamp;eyebrow;eye patch
029;RugBerb #029;Get Rugged;1;0;rainbow;yellow belly;pocho;small;cowboy hat;pumped up;none
030;RugBerb #030;Get Rugged;1;0;green chart;brown;none;worm;Bullseye cap;normal;none
031;RugBerb #031;Get Rugged;1;0;Space;golden berbot;Astronaut;gold normal;none;machine gold;none
032;RugBerb #032;Get Rugged;1;0;Rain;pink love;cop uniform;normal;none;normal gold;none
033;RugBerb #033;Get Rugged;1;0;Thunder;pink;clown outfit;Moustache big;headband;normal;none
034;RugBerb #034;Get Rugged;1;0;Rain;grey;pajamas blue holding pillow;normal;none;crying;none
035;RugBerb #035;Get Rugged;1;0;green chart;black;green jacket;big;firefighter hat;eyebrow;none
036;RugBerb #036;Get Rugged;1;0;sun;yellow;none;silver;none;crying;none
037;RugBerb #037;Get Rugged;1;0;cancer constellation;pink;scarf;Moustache big;bowler hat;black red;none
038;RugBerb #038;Get Rugged;1;0;teal;green;gold necklace;small;headband;pumped up;goggles
039;RugBerb #039;Get Rugged;1;0;grey;yellow;none;gold small;none;normal;pink stars glasses
040;RugBerb #040;Get Rugged;1;0;beach;golden berbot;duck floaty;gold normal;rubber duck;red laser gold;none
041;RugBerb #041;Get Rugged;1;0;green chart;pink love;purple jacket;Moustache normal;Bullseye cap;eyebrow;none
042;RugBerb #042;Get Rugged;1;0;teal;yellow;none;worm;Bullseye cap;heart;none
043;RugBerb #043;Get Rugged;1;0;Rain;green;baseball jersey;pipe;lamp;unibrow;none
044;RugBerb #044;Get Rugged;1;0;purple;grey;clown outfit;moustache small;none;normal;none
045;RugBerb #045;Get Rugged;1;0;blue;green;none;small;bowler hat;black red;3d glasses
046;RugBerb #046;Get Rugged;1;0;Thunder;black;construction vest;gold normal;none;eyebrow;glasses
047;RugBerb #047;Get Rugged;1;0;purple;blue;bowtie;moustache small;none;heart;none
048;RugBerb #048;Get Rugged;1;0;rainbow;grey;bowtie;small;lamp;eyebrow;none
049;RugBerb #049;Get Rugged;1;0;cancer constellation;golden berbot;bowtie;gold normal;top hat;black red;monocle
050;RugBerb #050;Get Rugged;1;0;rainbow;purple;bowtie;small;cavalier hat ;normal;none
051;RugBerb #051;Get Rugged;1;0;blue sky;golden berbot;robe king;gold normal;crown king;normal gold;none
052;RugBerb #052;Get Rugged;1;0;Thunder;blue;none;worm;plunger;unibrow;none
053;RugBerb #053;Get Rugged;1;0;grey;brown;construction vest;normal;tiara pink;normal;none
054;RugBerb #054;Get Rugged;1;0;teal;yellow;none;worm;none;unibrow;none
055;RugBerb #055;Get Rugged;1;0;teal;pink;sailor costume;small;beanie;unibrow;none
056;RugBerb #056;Get Rugged;1;0;teal;black skull;medal;small;none;normal;none
057;RugBerb #057;Get Rugged;1;0;sun;pink;none;Moustache normal;headlamp;cyclops;none
058;RugBerb #058;Get Rugged;1;0;Rain;pink;tracksuit navy blue;normal;beanie;pumped up;eye patch
059;RugBerb #059;Get Rugged;1;0;grey;black skull;leather jacket black;cigar;pajamas cap;not normal;none
060;RugBerb #060;Get Rugged;1;0;Thunder;brown;none;small;apple;unibrow;snorkeling
061;RugBerb #061;Get Rugged;1;0;grey;brown;white shirt;cigar;tiara pink;normal;goggles
062;RugBerb #062;Get Rugged;1;0;sun;yellow belly;none;Moustache normal;none;normal gold;none
063;RugBerb #063;Get Rugged;1;0;green chart;black;purple jacket;worm;none;black red;none
064;RugBerb #064;Get Rugged;1;0;purple;black skull;pajamas blue holding pillow;Moustache normal;none;eyebrow;none
065;RugBerb #065;Get Rugged;1;0;blue;blue;tracksuit navy blue;moustache small;witch hat;eyebrow;glasses
066;RugBerb #066;Get Rugged;1;0;rainbow zigzag;black;egg;normal;none;normal;none
067;RugBerb #067;Get Rugged;1;0;blue sky;brown;scarf;Moustache normal;baseball cap;eyebrow;none
068;RugBerb #068;Get Rugged;1;0;Rain;yellow;pink dress;Moustache big;none;unibrow;none
069;RugBerb #069;Get Rugged;1;0;pink sky;black skull;none;worm;none;eyebrow;pink stars glasses
070;RugBerb #070;Get Rugged;1;0;beach;purple;pocho;cigar;lamp;normal;none
071;RugBerb #071;Get Rugged;1;0;beach;fire blue;white shirt;gold normal;frogi;crying;none
072;RugBerb #072;Get Rugged;1;0;blue sky;green;medal;normal;none;black red;goggles
073;RugBerb #073;Get Rugged;1;0;purple;black skull;pocho;silver;construction hat;eyebrow;green stylish glasses
074;RugBerb #074;Get Rugged;1;0;teal;green;none;Moustache big;watermelon;unibrow;none
075;RugBerb #075;Get Rugged;1;0;grey;robot;clown outfit;moustache small;none;machine;none
076;RugBerb #076;Get Rugged;1;0;blue;brown;bowtie;gold small;captain hat;crying;none
077;RugBerb #077;Get Rugged;1;0;purple;yellow;sailor costume;not normal;rubber duck;heart;pink stars glasses
078;RugBerb #078;Get Rugged;1;0;doom gloom;purple;scarf;normal;none;unibrow;none
079;RugBerb #079;Get Rugged;1;0;sun;green;baseball jersey;small;halo;normal;monocle
080;RugBerb #080;Get Rugged;1;0;grey;black;medal;pipe;bowler hat;normal gold;none
081;RugBerb #081;Get Rugged;1;0;doom gloom;blue;none;worm;chef hat;pumped up;glasses
082;RugBerb #082;Get Rugged;1;0;purple;black;chef;normal;none;normal;none
083;RugBerb #083;Get Rugged;1;0;purple zigzag;fire blue;egg;normal;none;normal;none
084;RugBerb #084;Get Rugged;1;0;teal;grey;none;normal;none;machine;none
085;RugBerb #085;Get Rugged;1;0;grey;yellow belly;baseball jersey;normal;none;normal;green stylish glasses
086;RugBerb #086;Get Rugged;1;0;Ninja;green;clown outfit;cigar;none;heart;none
