Filename,BACKGROUND,FEATHER,OUTWEAR,BEAK,HEADWEAR,EYES,EYEWEAR,RARITYSCORE,RANK
Pretty Berb,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,1
ronin berb.jpg,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,2
Lord RugBits,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,3
injscribed berb,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,4
cutie berb.png,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,5
berb x diplo,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,6
Berb Error,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,7
Astro Berb,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,8
basquiat,special,special,special,special,special,special,special,0.9658569647066149,9
cookie berb,special,special,special,special,special,special,special,0.9658569647066149,10
janitor,special,special,special,special,special,special,special,0.9658569647066149,11
plague doctor,special,special,special,special,special,special,special,0.9658569647066149,12
corgi,special,special,special,special,special,special,special,0.9658569647066149,13
turkish berb,special,special,special,special,special,special,special,0.9658569647066149,14
berbkwon,special,special,special,special,special,special,special,0.9658569647066149,15
berbman fried,special,special,special,special,special,special,special,0.9658569647066149,16
wizard,special,special,special,special,special,special,special,0.9658569647066149,17
goldie ninja,special,special,special,special,special,special,special,0.9658569647066149,18
angry berb,special,special,special,special,special,special,special,0.9658569647066149,19
049,cancer constellation,golden berbot,bowtie,gold normal,top hat,black red,monocle,0.8505009280861029,20
1074,red chart,robot,sailor costume,gold normal,pirate hat,black red,pink stars glasses,0.8065995722354456,21
