Filename,BACKGROUND,FEATHER,OUTWEAR,BEAK,HEADWEAR,EYES,EYEWEAR,RARITYSCORE,RANK,LINKcollaboration
Pretty Berb,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,1,64d4efee1d86fd023d443ed9
ronin berb.jpg,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,2,64d4e8fcc5e0ce89f102bc5d
Lord RugBits,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,3,64d4edad1d86fd023d3fa796
injscribed berb,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,4,64d4f8dce11651223b4c5304
cutie berb.png,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,5,64d4f05a27f8488b65670f9b
berb x diplo,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,6,64d4fb68e11651223b51660c
Berb Error,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,7,64d4fb68e11651223b51660c
Astro Berb,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,artist collaboration,0.9750680666064735,8,64d4edf6c5e0ce89f1096ec7
basquiat,special,special,special,special,special,special,special,0.9658569647066149,9,64d4f11227f8488b6568c0ad
cookie berb,special,special,special,special,special,special,special,0.9658569647066149,10,64d42ba9c5e0ce89f1cf530d
janitor,special,special,special,special,special,special,special,0.9658569647066149,11,64d42ba94a8a2f15a9354d84
plague doctor,special,special,special,special,special,special,special,0.9658569647066149,12,64d42baf1d86fd023d05df41
corgi,special,special,special,special,special,special,special,0.9658569647066149,13,64d42bafc5e0ce89f1cf5355
turkish berb,special,special,special,special,special,special,special,0.9658569647066149,14,64d4fb68e11651223b51660c
berbkwon,special,special,special,special,special,special,special,0.9658569647066149,15,64d42baf1d86fd023d05df4a
berbman fried,special,special,special,special,special,special,special,0.9658569647066149,16,64d42bafc5e0ce89f1cf535e
wizard,special,special,special,special,special,special,special,0.9658569647066149,17,64d42ba9c5e0ce89f1cf5318
goldie ninja,special,special,special,special,special,special,special,0.9658569647066149,18,64d4f11227f8488b6568c0ad
angry berb,special,special,special,special,special,special,special,0.9658569647066149,19,64d42ba91d86fd023d05df0c
049,cancer constellation,golden berbot,bowtie,gold normal,top hat,black red,monocle,0.8505009280861029,20,64d4f4d5c76547f4aa22200c
1074,red chart,robot,sailor costume,gold normal,pirate hat,black red,pink stars glasses,0.8065995722354456,21,64d4e0c3c76547f4aafacb5b
1338,blue sky,grey,sailor costume,not normal,pirate hat,rainbow laser,goggles,0.7953320939716034,22,64d4edb2c76547f4aa0fdd94
121,green chart,fire red,white shirt,worm,lamp,heart,sunglasses,0.7856356836480064,23,64d5a957e11651223bab8a26
1531,aries constellation,yellow belly,scarf,pipe,pan,black red,red stylish glasses,0.783201856199561,24,64d4edfcc76547f4aa106c6c
479,sun,black skull,sailor costume,silver,watermelon,normal gold,sunglasses,0.7796609120065342,25,64d4eff91d86fd023d445328
